"Laikotarpis","Rodiklis","Ekonominės veiklos rūšis (EVRK 2 red., detalios veiklos):Kodas","Ekonominės veiklos rūšis (EVRK 2 red., detalios veiklos):Pavadinimas","Tipas","Sektorius","Lyginimas","Matavimo vienetai","Reikšmė"
"2018","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Neto","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","109.1"
"2018","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Realusis","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","106.2"
"2017","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Neto","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","109.6"
"2017","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Realusis","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","105.7"
"2016","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Neto","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","108.7"
"2016","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Realusis","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","107.7"
"2015","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Neto","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","105.1"
"2015","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Realusis","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","106.1"
"2014","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Neto","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","105.2"
"2014","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Realusis","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","105.1"
"2013","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Neto","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","104.8"
"2013","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Realusis","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","103.8"
"2012","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Neto","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","103.6"
"2012","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Realusis","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","100.5"
"2011","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Neto","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","102.7"
"2011","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Realusis","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","98.7"
"2010","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Neto","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","96.9"
"2010","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Realusis","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","95.7"
"2009","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Neto","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","97.0"
"2009","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Realusis","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","92.8"
"2008","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Neto","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","122.1"
"2008","Darbo užmokesčio indeksas (mėnesinis)","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Realusis","Šalies ūkis su individualiosiomis įmonėmis","palyginti su ankstesniais metais","proc.","110.1"
